City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Vao,NC,-22.6667,167.4833,71.82,79,20,14.38,few clouds
175,Kathmandu,NP,27.7167,85.3167,64.62,94,75,3.44,mist
176,Tuy Hoa,VN,13.0833,109.3,75.96,96,100,8.41,moderate rain
177,Ternate,ID,0.8,127.4,79.86,79,54,4.25,broken clouds
178,Pokhara,NP,28.2333,83.9833,60.53,76,11,5.86,few clouds
179,Avarua,CK,-21.2078,-159.775,73.45,56,20,10.36,few clouds
180,Rocha,UY,-34.4833,-54.3333,58.78,93,100,7.25,light rain
181,Mahon,ES,39.8885,4.2658,64.96,82,40,10.36,scattered clouds
182,Sorland,NO,67.667,12.6934,42.44,58,97,8.16,overcast clouds
183,Magomeni,TZ,-6.8,39.25,77.38,83,20,10.36,few clouds
184,Indramayu,ID,-6.3264,108.32,81.59,74,100,3.47,overcast clouds
185,Alvorada,BR,-12.48,-49.1247,88.77,45,94,5.5,overcast clouds
186,Valleyview,CA,55.0667,-117.2859,42.84,87,100,2.3,overcast clouds
187,Mogadishu,SO,2.0371,45.3438,79.45,83,0,7.7,clear sky
188,Aykhal,RU,66.0,111.5,24.55,90,99,22.21,overcast clouds
189,Padang,ID,-0.9492,100.3543,76.53,90,95,2.89,overcast clouds
190,Narsaq,GL,60.9167,-46.05,35.82,72,70,1.14,broken clouds
191,Hovd,MN,48.0056,91.6419,34.48,53,3,6.89,clear sky
192,Lata,PT,40.1629,-8.3327,59.81,65,59,0.87,broken clouds
193,Kasongo-Lunda,CD,-6.4667,16.8167,71.51,95,36,1.83,light rain
194,Tasiilaq,GL,65.6145,-37.6368,33.96,86,100,4.85,overcast clouds
195,Bang Sai,TH,14.2124,100.4966,80.01,92,100,5.35,overcast clouds
196,Havelock,US,34.8791,-76.9013,77.95,65,40,1.01,scattered clouds
197,Mar Del Plata,AR,-38.0023,-57.5575,68.02,61,75,14.0,thunderstorm
198,Zeya,RU,53.75,127.2667,34.86,75,8,1.72,clear sky
199,Lebu,CL,-37.6167,-73.65,54.7,72,27,9.86,scattered clouds
200,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,74,75,3.0,broken clouds
201,Bintulu,MY,3.1667,113.0333,75.61,94,40,3.0,scattered clouds
202,Kiunga,PG,-6.1219,141.2906,72.5,99,94,2.04,overcast clouds
203,Naze,JP,28.3667,129.4833,68.04,74,100,17.78,overcast clouds
204,Chimoio,MZ,-19.1164,33.4833,76.86,69,0,1.25,clear sky
205,Sladkovicovo,SK,48.2014,17.6385,46.98,60,0,6.93,clear sky
206,Darab,IR,28.7519,54.5444,69.21,28,0,5.48,clear sky
207,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,40,12.66,scattered clouds
208,Kodiak,US,57.79,-152.4072,44.11,76,90,10.36,moderate rain
209,Ola,RU,59.5833,151.2833,23.97,69,100,11.14,overcast clouds
210,Port Hardy,CA,50.6996,-127.4199,51.98,82,40,10.36,scattered clouds
211,Bairiki,KI,1.3292,172.9752,78.8,78,75,2.3,broken clouds
212,Qasigiannguit,GL,68.8193,-51.1922,19.65,95,100,5.48,light snow
213,Poum,NC,-20.2333,164.0167,73.53,80,6,11.43,clear sky
214,Ust-Barguzin,RU,53.45,108.9833,33.75,82,91,3.6,overcast clouds
215,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,83,40,11.68,scattered clouds
216,Makhinjauri,GE,41.6739,41.694,53.46,82,0,11.5,clear sky
217,Cherskiy,RU,68.75,161.3,-2.72,100,98,2.46,overcast clouds
218,Springville,US,40.1652,-111.6107,50.52,79,90,8.05,overcast clouds
219,Victoria,HK,22.2855,114.1577,70.25,80,100,1.01,overcast clouds
220,Yenagoa,NG,4.9247,6.2642,73.4,96,100,2.57,overcast clouds
221,Bonnyville,CA,54.2668,-110.735,37.2,60,100,16.33,overcast clouds
222,Nola,IT,40.922,14.5329,68.56,77,100,6.71,overcast clouds
223,Bogorodskoye,RU,56.55,37.8833,36.55,84,62,9.46,broken clouds
224,Manjacaze,MZ,-24.7117,33.8828,78.93,62,0,13.51,clear sky
225,Souillac,MU,-20.5167,57.5167,75.58,78,40,12.66,scattered clouds
226,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,10,40,37.98,scattered clouds
227,Haines Junction,CA,60.7522,-137.5108,31.95,86,100,0.0,overcast clouds
228,Shaunavon,CA,49.6501,-108.4181,46.18,56,97,16.4,overcast clouds
229,Angoram,PG,-4.0625,144.0661,72.41,99,81,2.17,broken clouds
230,Tromso,NO,69.6496,18.957,32.02,69,75,5.01,shower sleet
231,Seoul,KR,37.5683,126.9778,44.04,91,20,2.3,few clouds
232,Nuuk,GL,64.1835,-51.7216,29.01,50,75,9.22,broken clouds
233,Lavrentiya,RU,65.5833,-171.0,23.27,85,100,9.57,overcast clouds
234,Aklavik,CA,68.2191,-135.0107,29.23,93,75,5.75,broken clouds
235,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,69,0,18.41,clear sky
236,Matagami,CA,49.7502,-77.6328,42.91,61,90,11.5,overcast clouds
237,Pemba,MZ,-12.974,40.5178,83.1,69,40,10.36,scattered clouds
238,Altagracia De Orituco,VE,9.8601,-66.3814,83.3,62,95,5.32,overcast clouds
239,Iqaluit,CA,63.7506,-68.5145,35.33,69,40,18.01,scattered clouds
240,Mgachi,RU,51.05,142.2667,35.15,93,4,8.88,clear sky
241,Olafsvik,IS,64.8945,-23.7142,45.46,92,100,12.55,light rain
242,Sept-Iles,CA,50.2001,-66.3821,49.05,98,90,3.0,light intensity drizzle
243,Aksu,CN,41.1231,80.2644,48.61,56,9,6.2,clear sky
244,Cravo Norte,CO,6.3017,-70.2041,87.91,57,83,11.27,broken clouds
245,Black River,JM,18.0264,-77.8487,86.99,63,56,15.61,broken clouds
246,Mahebourg,MU,-20.4081,57.7,75.49,78,40,12.66,scattered clouds
247,Portland,US,45.5234,-122.6762,55.29,94,90,1.99,mist
248,Port Macquarie,AU,-31.4333,152.9167,63.9,91,13,8.86,few clouds
249,Vestmannaeyjar,IS,63.4427,-20.2734,46.94,87,100,14.67,overcast clouds
250,Tessalit,ML,20.1986,1.0114,88.86,16,34,9.37,scattered clouds
251,Hay River,CA,60.8156,-115.7999,49.96,61,75,11.5,broken clouds
252,Coxim,BR,-18.5067,-54.76,99.39,28,69,16.64,broken clouds
253,Montivilliers,FR,49.5452,0.1877,52.57,66,0,4.61,clear sky
254,Tura,IN,25.5198,90.2201,65.8,84,2,3.13,clear sky
255,Torbay,CA,47.6666,-52.7314,63.37,88,75,13.8,light rain
256,Coquimbo,CL,-29.9533,-71.3436,62.33,59,0,13.8,clear sky
257,Nyurba,RU,63.2842,118.3319,34.72,89,100,10.2,overcast clouds
258,Yulara,AU,-25.2406,130.9889,66.04,37,43,9.22,scattered clouds
259,Nabire,ID,-3.3667,135.4833,74.93,92,73,3.13,broken clouds
260,Mount Gambier,AU,-37.8333,140.7667,46.31,93,90,8.05,overcast clouds
261,Samarai,PG,-10.6167,150.6667,80.01,83,99,12.5,overcast clouds
262,Sao Pedro Do Sul,BR,-29.6206,-54.1789,65.05,97,100,10.22,overcast clouds
263,Santa Ines,BR,-3.6667,-45.38,84.09,70,93,4.59,overcast clouds
264,Posse,BR,-14.0931,-46.3694,83.61,45,100,3.53,overcast clouds
265,Ati,TD,13.2154,18.3353,91.08,19,6,9.66,clear sky
266,Axim,GH,4.8699,-2.2405,78.37,83,88,5.3,overcast clouds
267,Biak,ID,-0.9131,122.8766,75.72,79,99,3.18,overcast clouds
268,Sao Filipe,CV,14.8961,-24.4956,79.93,69,4,6.46,clear sky
269,Tiksi,RU,71.6872,128.8694,0.63,99,100,6.71,overcast clouds
270,Itarema,BR,-2.9248,-39.9167,82.44,73,67,15.26,broken clouds
271,Labuan,MY,5.2767,115.2417,79.16,83,20,5.99,light rain
272,Naryan-Mar,RU,67.6713,53.087,26.71,87,19,10.07,few clouds
273,Sur,OM,22.5667,59.5289,81.43,61,0,8.5,clear sky
274,Lac Du Bonnet,CA,50.2536,-96.0612,43.07,55,82,3.62,broken clouds
275,Camabatela,AO,-8.1881,15.375,65.12,94,100,3.22,moderate rain
276,Hofn,IS,64.2539,-15.2082,45.16,94,97,7.02,overcast clouds
277,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.38,76,30,10.56,scattered clouds
278,Tukrah,LY,32.5341,20.5791,76.66,42,31,11.99,scattered clouds
279,Kavieng,PG,-2.5744,150.7967,81.5,78,96,13.2,light rain
280,Grosuplje,SI,45.9556,14.6589,46.31,87,9,2.51,clear sky
281,Altamira,BR,-3.2033,-52.2064,84.29,74,75,2.3,broken clouds
282,Iskateley,RU,67.6803,53.1512,26.55,87,20,9.93,few clouds
283,Burnie,AU,-41.0667,145.9167,49.95,71,84,11.27,broken clouds
284,Hecun,CN,36.5333,114.1111,51.42,62,98,3.51,overcast clouds
285,Ilhabela,BR,-23.7781,-45.3581,73.15,84,0,8.86,clear sky
286,Lagoa,PT,39.05,-27.9833,66.4,68,24,14.09,few clouds
287,Esperance,AU,-33.8667,121.9,51.64,67,50,16.46,scattered clouds
288,Manggar,ID,-2.8833,108.2667,79.27,81,40,2.62,scattered clouds
289,Doha,QA,25.2867,51.5333,82.38,55,0,5.75,clear sky
290,Luau,AO,-10.7073,22.2247,71.64,73,67,0.87,broken clouds
291,Ishigaki,JP,24.3448,124.1572,76.55,69,100,17.45,overcast clouds
292,Clyde River,CA,70.4692,-68.5914,21.88,80,93,15.86,overcast clouds
293,Fartura,BR,-23.3883,-49.51,82.15,41,79,5.55,broken clouds
294,Aripuana,BR,-9.1667,-60.6333,94.5,38,100,4.16,overcast clouds
295,Banda Aceh,ID,5.5577,95.3222,78.85,83,100,1.9,overcast clouds
296,Kirya,TZ,-3.9167,37.4833,76.59,60,77,9.19,broken clouds
297,Kruisfontein,ZA,-34.0033,24.7314,57.88,65,68,14.67,broken clouds
298,Puerto Escondido,MX,15.85,-97.0667,83.23,69,90,5.75,overcast clouds
299,Jalu,LY,29.0331,21.5482,74.37,32,1,10.49,clear sky
300,Mathbaria,BD,22.2876,89.9593,72.57,76,25,3.49,scattered clouds
301,Makakilo City,US,21.3469,-158.0858,80.92,56,1,11.5,clear sky
302,Camacha,PT,33.0833,-16.3333,67.42,60,40,9.22,scattered clouds
303,Tolaga Bay,NZ,-38.3667,178.3,55.9,75,100,11.12,overcast clouds
304,Korla,CN,41.7597,86.1469,52.83,34,100,4.36,overcast clouds
305,Phek,IN,25.6667,94.5,50.38,98,22,1.23,few clouds
306,Ballina,AU,-28.8667,153.5667,71.78,94,23,0.0,few clouds
307,Ust-Kulom,RU,61.6864,53.6902,34.79,97,100,4.25,light rain
308,Krasne,UA,49.9145,24.6134,40.35,67,93,11.5,overcast clouds
